Date,Close
2/2/2023,51.6
3/2/2023,51.34
6/2/2023,51.05
7/2/2023,51.88
8/2/2023,51.12
9/2/2023,48.63
10/2/2023,48.24
13/2/2023,46.45
14/2/2023,48.36
15/2/2023,51.23
16/2/2023,51.51
17/2/2023,53.06
20/2/2023,53.88
21/2/2023,52.57
22/2/2023,51.25
23/2/2023,51.81
24/2/2023,49.86
27/2/2023,49.5
28/2/2023,49.13
1/3/2023,49.39
2/3/2023,48.79
3/3/2023,46.72
6/3/2023,46.01
7/3/2023,45.09
8/3/2023,44.88
9/3/2023,41.16
10/3/2023,41.75
13/3/2023,46.96
14/3/2023,48.28
15/3/2023,45.48
16/3/2023,47.15
17/3/2023,48.54
20/3/2023,47.74
21/3/2023,48.74
22/3/2023,45.98
23/3/2023,48.36
24/3/2023,46.79
27/3/2023,44.55
28/3/2023,46.13
29/3/2023,47.27
30/3/2023,46.42
31/3/2023,47.49
3/4/2023,47.11
4/4/2023,47.33
5/4/2023,47.57
6/4/2023,47.16
7/4/2023,46.78
10/4/2023,47.34
11/4/2023,48.46
12/4/2023,47.8
13/4/2023,49.23
14/4/2023,50.25
17/4/2023,51.3
18/4/2023,51.77
19/4/2023,49.1
20/4/2023,47.3
21/4/2023,45.77
24/4/2023,46.39
25/4/2023,46.3
26/4/2023,45.85
27/4/2023,47.61
28/4/2023,46.86
1/5/2023,45.6
2/5/2023,46.18
3/5/2023,45.66
4/5/2023,45.87
5/5/2023,46.65
8/5/2023,42.8
9/5/2023,43.14
10/5/2023,43.55
11/5/2023,42.04
12/5/2023,42.39
15/5/2023,43.73
16/5/2023,43.11
17/5/2023,44.24
18/5/2023,43.09
19/5/2023,43.25
22/5/2023,43.19
23/5/2023,43.52
24/5/2023,42.31
25/5/2023,42.45
26/5/2023,42.84
29/5/2023,43.74
30/5/2023,43.99
31/5/2023,42.94
1/6/2023,42.89
2/6/2023,43.62
5/6/2023,40.38
6/6/2023,41.62
7/6/2023,39.22
8/6/2023,39.36
9/6/2023,38.26
12/6/2023,33.89
13/6/2023,34.59
14/6/2023,35.02
15/6/2023,33.97
16/6/2023,34.5
19/6/2023,34.63
20/6/2023,35.44
21/6/2023,37.11
22/6/2023,37.11
23/6/2023,38.23
26/6/2023,37.59
27/6/2023,38
28/6/2023,35.99
29/6/2023,37.13
30/6/2023,38.96
3/7/2023,40.57
4/7/2023,39.56
5/7/2023,38.46
6/7/2023,38.59
7/7/2023,38.49
10/7/2023,39.48
11/7/2023,39.19
12/7/2023,38.9
13/7/2023,42.79
14/7/2023,40.85
17/7/2023,40.37
18/7/2023,39.89
19/7/2023,40.99
20/7/2023,40.89
21/7/2023,41.31
24/7/2023,39.48
25/7/2023,39.41
26/7/2023,40.03
27/7/2023,40
28/7/2023,40.47
31/7/2023,39.74
1/8/2023,40.03
2/8/2023,39.17
3/8/2023,38.91
4/8/2023,38.64
7/8/2023,38.69
8/8/2023,39.73
9/8/2023,39.48
10/8/2023,39.41
11/8/2023,39.2
14/8/2023,39.33
15/8/2023,38.16
16/8/2023,37.34
17/8/2023,36.33
18/8/2023,34.31
21/8/2023,34.26
22/8/2023,33.32
23/8/2023,35.05
24/8/2023,34.33
25/8/2023,34.11
28/8/2023,34.32
29/8/2023,35.9
30/8/2023,34.92
31/8/2023,33.84
1/9/2023,33.31
4/9/2023,33.62
5/9/2023,33.62
6/9/2023,33.62
7/9/2023,33.73
8/9/2023,33.61
11/9/2023,31.53
12/9/2023,32.61
13/9/2023,32.78
14/9/2023,33.36
15/9/2023,33.39
18/9/2023,34.19
19/9/2023,34.54
20/9/2023,34.08
21/9/2023,33.5
22/9/2023,33.34
25/9/2023,33.46
26/9/2023,33.41
27/9/2023,33.42
28/9/2023,34.32
29/9/2023,34.49
2/10/2023,35.17
3/10/2023,34.63
4/10/2023,34.51
5/10/2023,34.41
6/10/2023,34.92
9/10/2023,33.36
10/10/2023,33.34
11/10/2023,32.97
12/10/2023,32.6
13/10/2023,32.86
16/10/2023,34.2
17/10/2023,33.72
18/10/2023,33.45
19/10/2023,33.68
20/10/2023,34.53
23/10/2023,37.26
24/10/2023,37.79
25/10/2023,38.46
26/10/2023,38.04
27/10/2023,38.02
30/10/2023,39.59
31/10/2023,39.48
1/11/2023,40.92
2/11/2023,41.35
3/11/2023,40.82
6/11/2023,44.48
7/11/2023,44.53
8/11/2023,45.03
9/11/2023,44.55
10/11/2023,47.63
13/11/2023,48.06
14/11/2023,46.34
15/11/2023,50.27
16/11/2023,48.03
17/11/2023,47.31
20/11/2023,48.68
21/11/2023,46.45
22/11/2023,47.78
23/11/2023,47.17
24/11/2023,47.7
27/11/2023,45.78
28/11/2023,47.6
29/11/2023,47.06
30/11/2023,47.26
1/12/2023,48
4/12/2023,49.15
5/12/2023,49.79
6/12/2023,50.95
7/12/2023,51.49
8/12/2023,55.38
11/12/2023,53.8
12/12/2023,55.31
13/12/2023,57.35
14/12/2023,57.55
15/12/2023,57.42
18/12/2023,55.54
19/12/2023,55.83
20/12/2023,57.77
21/12/2023,62.16
22/12/2023,63.05
25/12/2023,66.88
26/12/2023,65.64
27/12/2023,68.45
28/12/2023,66.82
29/12/2023,65.91
1/1/2024,68.21
2/1/2024,67.43
3/1/2024,64.17
4/1/2024,66.02
5/1/2024,62.99
8/1/2024,61.9
9/1/2024,59.6
10/1/2024,61.84
11/1/2024,65.34
12/1/2024,63.65
15/1/2024,63.49
16/1/2024,63.8
17/1/2024,63.4
18/1/2024,60.25
19/1/2024,60.55
22/1/2024,58.14
23/1/2024,55.43
24/1/2024,56.55
25/1/2024,56.97
26/1/2024,59.25
29/1/2024,62.31
30/1/2024,62.86
31/1/2024,60.14
1/2/2024,60.35
2/2/2024,61.29
